review_id,star_rating,sentiment_label,sentiment_score,quality_aspect,shipping_aspect,value_aspect,service_aspect,emotion,is_fake_review,fake_confidence_score,is_sarcastic,subjectivity_score,polarity_score
R00013650,5,positive,1.0,positive,positive,positive,positive,joy,0,0.348,0,0.96,0.799
R00013651,3,neutral,-0.205,neutral,positive,neutral,negative,mild_disappointment,0,0.172,0,0.834,-0.014
R00013652,5,positive,0.984,positive,positive,positive,positive,delight,0,0.169,0,0.725,0.791
R00013653,1,negative,-1.0,negative,neutral,negative,negative,frustration,0,0.078,0,0.158,-0.907
R00013654,5,positive,1.0,positive,positive,positive,positive,joy,1,0.601,0,0.594,0.668
R00013655,4,positive,0.318,positive,positive,positive,negative,neutral,0,0.249,0,0.47,0.485
R00013656,4,positive,0.531,positive,negative,neutral,neutral,mild_joy,0,0.24,0,0.673,0.39
R00013657,1,negative,-0.876,negative,negative,negative,negative,frustration,1,0.724,0,0.42,-0.867
R00013658,5,positive,1.0,positive,positive,positive,positive,joy,0,0.243,0,0.256,0.82
R00013659,5,positive,1.0,positive,positive,positive,positive,joy,0,0.075,0,0.552,0.67
R00013660,3,neutral,-0.111,neutral,neutral,neutral,neutral,neutral,0,0.42,0,0.812,-0.023
R00013661,4,positive,0.49,neutral,neutral,positive,positive,satisfaction,0,0.052,0,0.545,0.268
R00013662,3,neutral,0.002,neutral,neutral,positive,negative,neutral,0,0.117,0,0.788,-0.012
R00013663,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.396,0,0.92,-0.656
R00013664,5,positive,0.911,positive,positive,positive,neutral,satisfaction,1,0.848,0,0.915,0.686
R00013665,4,positive,0.479,negative,positive,neutral,positive,mild_joy,0,0.176,0,0.836,0.423
R00013666,4,positive,0.425,neutral,positive,neutral,positive,neutral,0,0.373,0,0.542,0.397
R00013667,4,positive,0.555,neutral,positive,neutral,positive,mild_joy,0,0.597,0,0.29,0.43
R00013668,2,negative,-0.455,neutral,neutral,negative,negative,frustration,0,0.057,0,0.468,-0.341
R00013669,4,positive,0.539,neutral,positive,neutral,positive,neutral,0,0.195,0,0.354,0.245
R00013670,4,positive,0.428,neutral,neutral,positive,positive,neutral,0,0.431,0,0.222,0.431
R00013671,2,negative,-0.451,neutral,negative,neutral,negative,disappointment,0,0.095,0,0.51,-0.454
R00013672,4,positive,0.594,positive,neutral,positive,positive,neutral,0,0.073,0,0.529,0.254
R00013673,4,positive,0.485,neutral,neutral,positive,positive,mild_joy,0,0.079,0,0.79,0.443
R00013674,3,neutral,0.125,negative,neutral,negative,neutral,neutral,0,0.203,0,0.89,0.032
R00013675,3,neutral,-0.093,neutral,neutral,neutral,neutral,neutral,0,0.263,0,0.91,-0.031
R00013676,3,neutral,0.057,neutral,neutral,negative,neutral,neutral,0,0.349,0,0.577,0.06
R00013677,4,positive,0.483,positive,neutral,positive,positive,mild_joy,0,0.571,0,0.59,0.304
R00013678,5,positive,1.0,positive,neutral,positive,positive,satisfaction,0,0.629,0,0.555,0.783
R00013679,4,positive,0.371,positive,neutral,neutral,positive,satisfaction,0,0.38,0,0.247,0.396
R00013680,3,neutral,0.117,negative,neutral,neutral,neutral,neutral,0,0.091,0,0.827,-0.003
R00013681,3,neutral,-0.014,neutral,positive,neutral,neutral,neutral,0,0.125,1,0.528,0.057
R00013682,3,neutral,-0.107,neutral,negative,negative,negative,neutral,0,0.355,1,0.231,-0.053
R00013683,4,positive,0.388,neutral,neutral,neutral,positive,mild_joy,0,0.452,0,0.757,0.396
R00013684,5,positive,0.944,neutral,positive,positive,neutral,joy,0,0.104,0,0.474,0.849
R00013685,4,positive,0.449,neutral,positive,neutral,neutral,mild_joy,0,0.439,0,0.627,0.447
R00013686,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.407,0,0.252,0.7
R00013687,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.219,0,0.539,-0.701
R00013688,3,neutral,0.081,neutral,neutral,negative,positive,mild_disappointment,0,0.137,0,0.599,-0.058
R00013689,5,positive,0.881,positive,positive,positive,positive,delight,0,0.179,0,0.762,0.843
R00013690,1,negative,-0.98,neutral,neutral,negative,negative,disgust,0,0.366,0,0.192,-0.709
R00013691,3,neutral,0.079,neutral,positive,neutral,neutral,neutral,0,0.1,0,0.704,-0.003
R00013692,5,positive,1.0,positive,positive,neutral,positive,delight,0,0.175,0,0.897,0.895
R00013693,5,positive,1.0,positive,positive,neutral,neutral,joy,0,0.161,0,0.47,0.962
R00013694,5,positive,0.942,positive,positive,neutral,positive,joy,0,0.527,0,0.549,0.869
R00013695,5,positive,0.996,positive,positive,positive,positive,satisfaction,0,0.151,0,0.773,0.636
R00013696,4,positive,0.611,neutral,positive,positive,positive,neutral,0,0.04,0,0.559,0.266
R00013697,5,positive,1.0,positive,positive,positive,positive,delight,0,0.037,0,0.702,0.808
R00013698,5,positive,0.809,positive,positive,neutral,positive,satisfaction,1,0.814,0,0.518,0.864
R00013699,3,neutral,0.059,neutral,neutral,neutral,neutral,neutral,0,0.252,0,0.741,0.065
R00013700,3,neutral,-0.039,neutral,positive,positive,positive,neutral,0,0.324,0,0.516,-0.094
R00013701,5,positive,1.0,positive,positive,neutral,positive,joy,0,0.065,0,0.609,0.862
R00013702,5,positive,1.0,positive,positive,positive,positive,delight,0,0.007,0,0.563,0.767
R00013703,3,neutral,-0.028,neutral,positive,negative,neutral,neutral,0,0.648,0,0.52,0.018
R00013704,5,positive,0.953,positive,positive,positive,positive,satisfaction,0,0.174,0,0.814,0.898
R00013705,3,neutral,-0.081,neutral,neutral,neutral,neutral,neutral,0,0.289,0,0.495,-0.076
R00013706,5,positive,0.914,positive,neutral,positive,positive,satisfaction,0,0.189,0,0.394,0.744
R00013707,5,positive,0.878,positive,positive,neutral,positive,satisfaction,1,0.551,0,0.691,0.856
R00013708,1,negative,-0.9,negative,negative,negative,negative,anger,0,0.389,0,0.577,-0.696
R00013709,5,positive,0.959,positive,positive,positive,positive,satisfaction,0,0.18,0,0.536,0.867
R00013710,3,neutral,-0.034,neutral,positive,neutral,neutral,neutral,0,0.762,0,0.918,-0.063
R00013711,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.134,0,0.414,0.818
R00013712,4,positive,0.563,neutral,neutral,positive,neutral,mild_joy,0,0.183,0,0.77,0.308
R00013713,4,positive,0.48,neutral,positive,positive,neutral,mild_joy,0,0.156,0,0.754,0.532
R00013714,4,positive,0.399,positive,neutral,positive,positive,satisfaction,0,0.272,0,0.711,0.564
R00013715,4,positive,0.478,positive,neutral,positive,neutral,mild_joy,0,0.312,0,0.854,0.294
R00013716,1,negative,-1.0,negative,neutral,negative,negative,anger,0,0.241,0,0.765,-0.793
R00013717,2,negative,-0.531,neutral,neutral,neutral,negative,frustration,0,0.329,0,0.52,-0.429
R00013718,5,positive,1.0,positive,positive,positive,positive,delight,0,0.425,0,0.635,0.899
R00013719,1,negative,-1.0,negative,negative,negative,neutral,frustration,0,0.106,0,0.519,-0.801
R00013720,3,neutral,0.161,neutral,neutral,neutral,neutral,neutral,0,0.309,0,0.799,-0.205
R00013721,4,positive,0.448,neutral,positive,positive,positive,mild_joy,0,0.153,0,0.798,0.493
R00013722,2,negative,-0.503,negative,neutral,negative,positive,disappointment,0,0.059,0,0.877,-0.386
R00013723,5,positive,0.873,positive,positive,positive,positive,satisfaction,0,0.137,0,0.473,0.88
R00013724,4,positive,0.621,neutral,positive,neutral,negative,mild_joy,0,0.529,0,0.352,0.266
R00013725,3,neutral,0.19,neutral,positive,neutral,neutral,neutral,0,0.464,0,0.325,0.141
R00013726,5,positive,1.0,positive,positive,positive,neutral,delight,0,0.16,0,0.728,0.751
R00013727,4,positive,0.541,positive,neutral,positive,neutral,neutral,0,0.512,0,0.57,0.441
R00013728,4,positive,0.356,neutral,neutral,neutral,positive,satisfaction,0,0.091,0,0.63,0.496
R00013729,4,positive,0.369,positive,neutral,neutral,positive,satisfaction,0,0.267,0,0.626,0.458
R00013730,5,positive,1.0,positive,neutral,positive,positive,satisfaction,0,0.186,0,0.376,0.777
R00013731,4,positive,0.655,neutral,neutral,positive,positive,satisfaction,0,0.166,0,0.681,0.424
R00013732,2,negative,-0.564,neutral,neutral,negative,neutral,frustration,0,0.405,0,0.461,-0.454
R00013733,1,negative,-0.956,negative,negative,negative,negative,anger,0,0.039,0,0.779,-0.841
R00013734,5,positive,0.938,positive,positive,positive,positive,joy,0,0.094,0,0.835,0.754
R00013735,5,positive,0.959,positive,positive,positive,neutral,satisfaction,0,0.264,0,0.383,0.911
R00013736,3,neutral,0.043,neutral,neutral,neutral,neutral,neutral,0,0.226,0,0.687,-0.061
R00013737,5,positive,0.98,positive,positive,neutral,positive,joy,0,0.196,0,0.787,0.746
R00013738,5,positive,1.0,positive,positive,neutral,positive,satisfaction,1,0.866,0,0.611,0.928
R00013739,5,positive,0.891,positive,positive,positive,neutral,joy,0,0.241,0,0.763,0.648
R00013740,4,positive,0.445,neutral,positive,positive,neutral,satisfaction,0,0.106,0,0.465,0.154
R00013741,3,neutral,-0.001,negative,positive,positive,negative,neutral,0,0.276,0,0.724,-0.053
R00013742,4,positive,0.515,neutral,neutral,positive,positive,satisfaction,0,0.198,0,0.748,0.528
R00013743,3,neutral,-0.135,neutral,neutral,neutral,negative,neutral,0,0.363,0,0.62,-0.045
R00013744,2,negative,-0.467,negative,neutral,negative,negative,disappointment,0,0.092,0,0.727,-0.395
R00013745,3,neutral,0.032,neutral,negative,neutral,positive,mild_disappointment,0,0.11,0,0.76,0.003
R00013746,5,positive,0.898,positive,positive,positive,positive,delight,0,0.094,0,0.537,0.739
R00013747,3,neutral,-0.184,neutral,neutral,neutral,neutral,neutral,0,0.193,0,0.606,0.049
R00013748,3,neutral,0.05,neutral,neutral,neutral,positive,neutral,0,0.474,0,0.766,-0.187
R00013749,5,positive,0.986,positive,positive,positive,positive,joy,0,0.382,0,0.557,0.646
R00013750,1,negative,-1.0,negative,negative,negative,negative,anger,0,0.022,0,0.604,-1.0
R00013751,4,positive,0.403,neutral,positive,neutral,positive,mild_joy,0,0.557,0,0.75,0.368
R00013752,3,neutral,-0.07,positive,neutral,neutral,positive,neutral,0,0.131,0,0.359,-0.021
R00013753,3,neutral,-0.05,neutral,neutral,neutral,negative,mild_disappointment,0,0.133,0,0.36,-0.054
R00013754,4,positive,0.455,neutral,positive,positive,positive,satisfaction,0,0.12,0,0.753,0.462
R00013755,4,positive,0.534,positive,neutral,neutral,neutral,mild_joy,0,0.25,0,0.386,0.587
R00013756,4,positive,0.634,positive,positive,positive,neutral,mild_joy,0,0.216,0,0.574,0.392
R00013757,4,positive,0.415,neutral,neutral,positive,neutral,neutral,0,0.361,0,0.436,0.319
R00013758,4,positive,0.281,positive,positive,neutral,positive,satisfaction,0,0.459,0,0.9,0.413
R00013759,5,positive,1.0,positive,positive,positive,positive,joy,0,0.187,0,0.831,0.849
R00013760,3,neutral,-0.157,neutral,neutral,neutral,positive,neutral,0,0.25,0,0.335,0.072
R00013761,4,positive,0.304,neutral,neutral,neutral,positive,satisfaction,0,0.156,0,0.84,0.382
R00013762,4,positive,0.464,positive,neutral,neutral,neutral,satisfaction,0,0.035,0,0.632,0.378
R00013763,5,positive,0.955,positive,positive,neutral,positive,delight,0,0.401,0,0.824,0.822
R00013764,4,positive,0.607,neutral,neutral,neutral,positive,neutral,0,0.275,0,0.768,0.297
R00013765,5,positive,0.829,positive,neutral,positive,positive,satisfaction,1,0.501,0,0.688,0.752
R00013766,5,positive,1.0,positive,positive,positive,positive,delight,1,0.743,0,0.612,0.85
R00013767,4,positive,0.571,neutral,neutral,neutral,positive,mild_joy,0,0.196,0,0.985,0.563
R00013768,4,positive,0.424,positive,neutral,negative,neutral,neutral,0,0.272,0,0.519,0.419
R00013769,3,neutral,-0.02,neutral,neutral,negative,negative,neutral,0,0.328,0,0.331,0.022
R00013770,4,positive,0.468,neutral,positive,neutral,positive,neutral,0,0.394,0,0.429,0.442
R00013771,3,neutral,-0.004,neutral,neutral,neutral,positive,neutral,0,0.297,0,0.679,-0.049
R00013772,4,positive,0.608,positive,positive,positive,positive,mild_joy,0,0.283,1,0.433,0.401
R00013773,5,positive,0.942,positive,positive,neutral,positive,delight,0,0.274,0,0.622,0.858
R00013774,5,positive,1.0,positive,positive,positive,positive,joy,0,0.109,0,0.669,0.826
R00013775,4,positive,0.24,positive,neutral,neutral,positive,satisfaction,0,0.085,0,0.892,0.334
R00013776,5,positive,1.0,positive,neutral,neutral,positive,joy,0,0.198,0,0.648,0.696
R00013777,1,negative,-1.0,negative,neutral,negative,negative,frustration,0,0.39,0,0.644,-0.791
R00013778,3,neutral,0.134,neutral,neutral,neutral,positive,mild_disappointment,0,0.164,0,0.781,-0.027
R00013779,5,positive,0.987,positive,neutral,positive,positive,satisfaction,0,0.036,0,0.94,0.898
R00013780,3,neutral,0.047,negative,positive,neutral,neutral,neutral,0,0.106,0,0.529,0.006
R00013781,4,positive,0.301,positive,positive,positive,positive,neutral,0,0.077,0,0.33,0.592
R00013782,5,positive,0.859,positive,positive,positive,positive,satisfaction,1,0.924,0,0.862,0.839
R00013783,5,positive,0.869,positive,positive,positive,positive,joy,0,0.391,1,0.91,0.787
R00013784,4,positive,0.374,neutral,neutral,positive,positive,satisfaction,0,0.085,0,0.708,0.496
R00013785,3,neutral,0.104,neutral,neutral,neutral,positive,mild_disappointment,0,0.255,0,0.645,0.157
R00013786,4,positive,0.492,neutral,positive,neutral,positive,neutral,0,0.132,0,0.836,0.323
R00013787,2,negative,-0.471,neutral,neutral,neutral,positive,disappointment,0,0.36,0,0.734,-0.345
R00013788,3,neutral,-0.035,neutral,neutral,neutral,positive,neutral,0,0.217,0,0.825,-0.031
R00013789,5,positive,0.841,positive,positive,positive,neutral,joy,0,0.151,0,0.727,0.696
R00013790,4,positive,0.569,positive,positive,neutral,positive,satisfaction,0,0.229,0,0.887,0.389
R00013791,5,positive,1.0,positive,positive,positive,positive,joy,0,0.193,0,0.199,0.736
R00013792,4,positive,0.349,positive,neutral,neutral,neutral,satisfaction,0,0.569,0,0.394,0.326
R00013793,4,positive,0.594,positive,positive,neutral,positive,satisfaction,0,0.281,0,0.891,0.404
R00013794,4,positive,0.533,positive,neutral,neutral,neutral,satisfaction,0,0.381,0,0.416,0.497
R00013795,4,positive,0.504,neutral,positive,positive,neutral,mild_joy,1,0.906,0,0.59,0.352
R00013796,1,negative,-0.993,negative,negative,neutral,negative,anger,0,0.176,0,0.247,-0.769
R00013797,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.263,0,0.722,0.723
R00013798,4,positive,0.439,neutral,neutral,positive,positive,neutral,0,0.213,0,0.892,0.254
R00013799,3,neutral,0.004,neutral,neutral,neutral,neutral,mild_disappointment,0,0.455,0,0.882,-0.04
R00013800,5,positive,1.0,positive,positive,positive,positive,delight,0,0.169,0,0.595,0.669
R00013801,2,negative,-0.648,negative,neutral,negative,neutral,disappointment,0,0.337,0,0.429,-0.396
R00013802,4,positive,0.505,positive,positive,neutral,neutral,satisfaction,0,0.181,0,0.783,0.451
R00013803,5,positive,1.0,neutral,positive,positive,positive,joy,1,0.934,0,0.786,0.846
R00013804,3,neutral,0.069,neutral,neutral,neutral,negative,mild_disappointment,0,0.235,0,0.557,0.02
R00013805,3,neutral,0.015,neutral,neutral,neutral,positive,neutral,0,0.388,1,0.444,0.056
R00013806,1,negative,-1.0,negative,negative,negative,negative,anger,0,0.261,0,0.5,-0.866
R00013807,4,positive,0.5,positive,positive,neutral,positive,satisfaction,0,0.52,0,0.942,0.383
R00013808,3,neutral,0.102,positive,neutral,neutral,negative,neutral,0,0.18,0,0.613,-0.002
R00013809,1,negative,-1.0,neutral,negative,negative,negative,frustration,0,0.391,0,0.637,-0.809
R00013810,2,negative,-0.637,neutral,negative,neutral,neutral,frustration,0,0.45,0,0.882,-0.551
R00013811,4,positive,0.469,positive,neutral,neutral,neutral,satisfaction,0,0.075,0,0.644,0.469
R00013812,2,negative,-0.526,neutral,neutral,negative,neutral,frustration,0,0.154,0,0.557,-0.387
R00013813,3,neutral,-0.055,negative,neutral,neutral,neutral,neutral,0,0.27,0,0.171,0.026
R00013814,5,positive,0.979,positive,positive,positive,positive,joy,1,0.81,0,0.861,0.761
R00013815,3,neutral,0.02,negative,neutral,neutral,negative,mild_disappointment,0,0.209,0,0.675,-0.18
R00013816,4,positive,0.385,positive,positive,neutral,positive,neutral,0,0.241,0,0.748,0.325
R00013817,3,neutral,0.114,neutral,neutral,neutral,negative,neutral,0,0.404,0,0.423,-0.06
R00013818,2,negative,-0.434,negative,neutral,neutral,positive,frustration,0,0.276,0,0.552,-0.287
R00013819,5,positive,0.904,positive,positive,neutral,positive,satisfaction,1,0.926,0,0.45,0.939
R00013820,3,neutral,-0.05,neutral,neutral,neutral,neutral,mild_disappointment,0,0.215,0,0.806,0.167
R00013821,3,neutral,-0.005,neutral,neutral,negative,positive,neutral,0,0.157,0,0.702,0.223
R00013822,4,positive,0.563,neutral,positive,positive,positive,mild_joy,0,0.24,0,0.868,0.349
R00013823,3,neutral,0.106,neutral,neutral,negative,negative,mild_disappointment,0,0.463,0,0.798,-0.003
R00013824,3,neutral,-0.037,negative,neutral,neutral,positive,neutral,0,0.41,0,0.62,-0.068
R00013825,1,negative,-0.931,negative,neutral,negative,negative,frustration,0,0.301,0,0.659,-0.866
R00013826,2,negative,-0.372,neutral,neutral,neutral,neutral,disappointment,0,0.133,0,0.174,-0.428
R00013827,5,positive,1.0,positive,positive,neutral,positive,joy,0,0.289,0,0.167,0.824
R00013828,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.368,0,0.937,0.772
R00013829,5,positive,0.977,neutral,positive,positive,positive,satisfaction,0,0.562,0,0.647,0.933
R00013830,5,positive,1.0,positive,positive,positive,positive,joy,0,0.355,0,0.219,0.691
R00013831,1,negative,-0.996,negative,negative,neutral,negative,anger,0,0.441,0,0.835,-0.981
R00013832,5,positive,0.883,positive,positive,neutral,positive,satisfaction,1,0.802,0,0.692,0.716
R00013833,3,neutral,0.119,neutral,neutral,neutral,negative,neutral,0,0.196,0,0.422,-0.069
R00013834,5,positive,0.981,positive,positive,positive,positive,satisfaction,0,0.282,0,0.526,0.703
R00013835,5,positive,1.0,positive,positive,positive,neutral,delight,0,0.203,0,0.75,0.785
R00013836,4,positive,0.476,neutral,positive,neutral,positive,neutral,0,0.379,0,0.859,0.285
R00013837,2,negative,-0.313,negative,neutral,negative,neutral,frustration,0,0.481,0,0.739,-0.408
R00013838,4,positive,0.577,neutral,positive,neutral,positive,satisfaction,0,0.226,0,0.494,0.518
R00013839,3,neutral,0.034,positive,neutral,neutral,neutral,neutral,0,0.317,0,0.532,0.1
R00013840,4,positive,0.493,neutral,neutral,neutral,positive,satisfaction,0,0.046,0,0.823,0.291
R00013841,4,positive,0.498,positive,positive,neutral,neutral,satisfaction,0,0.43,0,0.189,0.36
R00013842,5,positive,1.0,positive,positive,neutral,positive,delight,0,0.498,0,0.737,0.876
R00013843,4,positive,0.394,neutral,positive,neutral,neutral,satisfaction,0,0.134,0,0.705,0.434
R00013844,4,positive,0.545,neutral,positive,neutral,neutral,satisfaction,0,0.188,0,0.491,0.4
R00013845,4,positive,0.638,positive,positive,positive,positive,satisfaction,0,0.619,0,0.661,0.398
R00013846,2,negative,-0.374,negative,negative,negative,negative,frustration,0,0.157,0,0.88,-0.411
R00013847,4,positive,0.464,neutral,neutral,positive,neutral,mild_joy,0,0.074,0,0.558,0.415
R00013848,2,negative,-0.374,neutral,neutral,neutral,negative,frustration,0,0.123,0,0.398,-0.43
R00013849,2,negative,-0.432,neutral,neutral,negative,neutral,frustration,0,0.474,0,0.458,-0.476
R00013850,3,neutral,-0.036,negative,positive,neutral,neutral,mild_disappointment,0,0.131,0,0.77,0.035
R00013851,5,positive,1.0,positive,positive,positive,neutral,joy,0,0.11,0,0.775,0.728
R00013852,4,positive,0.446,neutral,positive,positive,neutral,neutral,0,0.203,0,0.273,0.299
R00013853,4,positive,0.509,neutral,positive,positive,neutral,satisfaction,0,0.323,1,0.288,0.249
R00013854,4,positive,0.393,neutral,neutral,neutral,neutral,satisfaction,1,0.915,0,1.0,0.445
R00013855,2,negative,-0.512,negative,negative,neutral,neutral,frustration,0,0.123,0,0.226,-0.368
R00013856,3,neutral,0.018,positive,neutral,neutral,neutral,neutral,0,0.019,0,0.776,-0.013
R00013857,2,negative,-0.397,neutral,neutral,negative,negative,disappointment,0,0.082,0,0.527,-0.384
R00013858,4,positive,0.582,positive,neutral,neutral,positive,satisfaction,0,0.404,0,0.685,0.34
R00013859,3,neutral,-0.041,positive,neutral,neutral,negative,mild_disappointment,0,0.318,0,0.747,0.049
R00013860,5,positive,0.948,neutral,positive,neutral,positive,satisfaction,0,0.212,0,0.593,0.887
R00013861,5,positive,0.982,positive,positive,positive,neutral,joy,0,0.298,0,0.744,0.716
R00013862,2,negative,-0.673,negative,negative,negative,neutral,frustration,0,0.309,0,0.757,-0.377
R00013863,4,positive,0.433,positive,neutral,neutral,neutral,satisfaction,0,0.291,0,0.445,0.358
R00013864,3,neutral,-0.121,positive,neutral,neutral,neutral,mild_disappointment,0,0.146,0,0.687,-0.026
R00013865,4,positive,0.657,positive,neutral,neutral,neutral,satisfaction,0,0.139,0,0.581,0.381
R00013866,5,positive,1.0,positive,neutral,positive,positive,joy,0,0.264,0,0.545,0.801
R00013867,5,positive,0.844,neutral,positive,positive,positive,satisfaction,1,0.974,0,0.913,0.724
R00013868,5,positive,1.0,positive,positive,neutral,positive,joy,0,0.369,0,0.575,0.753
R00013869,2,negative,-0.567,negative,neutral,negative,negative,frustration,0,0.464,0,0.892,-0.388
R00013870,3,neutral,0.126,neutral,neutral,positive,neutral,neutral,0,0.317,0,0.359,0.162
R00013871,1,negative,-0.984,negative,negative,negative,neutral,anger,0,0.572,1,0.218,-0.735
R00013872,3,neutral,0.011,neutral,neutral,neutral,neutral,neutral,0,0.299,0,0.466,0.009
R00013873,4,positive,0.612,positive,positive,neutral,positive,neutral,0,0.209,0,0.585,0.355
R00013874,4,positive,0.647,neutral,neutral,positive,positive,neutral,0,0.275,0,0.89,0.506
R00013875,3,neutral,0.131,neutral,negative,neutral,positive,neutral,0,0.091,0,0.547,-0.068
R00013876,3,neutral,-0.138,neutral,neutral,neutral,neutral,neutral,0,0.104,0,0.209,-0.051
R00013877,5,positive,0.892,positive,positive,positive,positive,satisfaction,0,0.321,0,0.355,0.743
R00013878,5,positive,0.987,positive,positive,positive,neutral,satisfaction,0,0.097,0,0.844,0.687
R00013879,4,positive,0.396,positive,positive,positive,positive,satisfaction,0,0.162,0,0.698,0.408
R00013880,5,positive,0.926,positive,positive,positive,positive,satisfaction,0,0.181,0,0.432,0.83
R00013881,2,negative,-0.425,negative,neutral,negative,negative,disappointment,0,0.218,0,0.606,-0.365
R00013882,3,neutral,-0.09,neutral,positive,negative,neutral,mild_disappointment,0,0.513,0,0.806,0.041
R00013883,4,positive,0.508,positive,positive,positive,positive,neutral,0,0.189,0,0.599,0.376
R00013884,4,positive,0.466,neutral,positive,neutral,neutral,neutral,0,0.024,0,0.457,0.511
R00013885,5,positive,1.0,neutral,neutral,positive,positive,satisfaction,1,0.819,0,0.791,0.684
R00013886,5,positive,1.0,positive,positive,positive,positive,delight,0,0.411,0,0.863,0.85
R00013887,2,negative,-0.344,neutral,negative,negative,neutral,disappointment,0,0.254,0,0.811,-0.504
R00013888,3,neutral,-0.042,neutral,neutral,neutral,positive,neutral,0,0.127,0,0.439,-0.015
R00013889,3,neutral,-0.023,neutral,positive,negative,negative,neutral,0,0.424,0,0.824,0.066
R00013890,1,negative,-0.962,negative,negative,negative,negative,disgust,0,0.051,0,0.49,-0.797
R00013891,1,negative,-1.0,negative,negative,negative,negative,disgust,0,0.551,0,0.717,-0.728
R00013892,2,negative,-0.534,neutral,negative,neutral,neutral,disappointment,0,0.194,0,0.672,-0.476
R00013893,2,negative,-0.488,neutral,negative,negative,neutral,disappointment,0,0.098,0,0.295,-0.283
R00013894,3,neutral,0.002,negative,positive,neutral,negative,neutral,0,0.233,0,0.572,-0.042
R00013895,5,positive,0.887,positive,neutral,positive,positive,delight,1,0.821,0,0.953,0.874
R00013896,5,positive,0.971,positive,positive,positive,positive,joy,1,0.518,0,0.73,0.686
R00013897,1,negative,-1.0,negative,negative,neutral,negative,frustration,0,0.076,0,0.549,-0.847
R00013898,5,positive,0.957,positive,positive,neutral,positive,delight,0,0.272,0,0.554,0.744
R00013899,5,positive,1.0,positive,positive,neutral,positive,satisfaction,1,0.822,0,0.887,0.826
R00013900,3,neutral,0.001,neutral,neutral,neutral,neutral,neutral,0,0.271,0,0.737,-0.016
R00013901,2,negative,-0.365,neutral,neutral,neutral,neutral,disappointment,0,0.242,0,0.137,-0.333
R00013902,3,neutral,0.122,neutral,positive,negative,positive,neutral,0,0.083,0,0.574,0.015
R00013903,5,positive,1.0,positive,positive,positive,positive,satisfaction,0,0.185,0,0.509,0.93
R00013904,5,positive,1.0,positive,positive,positive,positive,joy,0,0.149,1,0.932,0.892
R00013905,4,positive,0.527,neutral,positive,neutral,neutral,neutral,0,0.197,0,0.735,0.255
R00013906,3,neutral,-0.023,neutral,neutral,negative,neutral,neutral,0,0.536,0,0.912,-0.041
R00013907,2,negative,-0.572,neutral,neutral,negative,neutral,disappointment,0,0.333,1,0.209,-0.367
R00013908,5,positive,1.0,neutral,positive,positive,positive,delight,0,0.376,0,0.516,0.703
R00013909,1,negative,-1.0,negative,negative,negative,negative,frustration,0,0.127,0,0.563,-0.896
R00013910,4,positive,0.458,neutral,neutral,positive,positive,neutral,0,0.299,0,0.498,0.502
R00013911,1,negative,-0.935,negative,negative,negative,negative,disgust,0,0.154,0,0.71,-0.713
R00013912,3,neutral,0.028,neutral,neutral,neutral,negative,neutral,0,0.245,0,0.611,0.015
R00013913,3,neutral,0.086,neutral,neutral,neutral,positive,neutral,0,0.437,0,0.821,-0.011
R00013914,4,positive,0.361,positive,positive,neutral,positive,neutral,0,0.409,0,0.639,0.274
R00013915,5,positive,0.941,positive,positive,positive,positive,joy,0,0.27,0,0.453,0.689
R00013916,5,positive,1.0,positive,positive,neutral,positive,satisfaction,0,0.508,0,0.909,0.662
R00013917,3,neutral,-0.049,neutral,neutral,neutral,positive,mild_disappointment,0,0.496,0,0.611,-0.007
R00013918,3,neutral,0.064,neutral,positive,neutral,negative,mild_disappointment,0,0.064,0,0.571,-0.067
R00013919,4,positive,0.632,neutral,neutral,positive,positive,neutral,0,0.081,0,0.653,0.396
R00013920,5,positive,1.0,positive,positive,positive,positive,joy,0,0.163,0,0.68,0.708
R00013921,3,neutral,-0.033,neutral,neutral,neutral,neutral,neutral,0,0.112,0,0.346,-0.087
R00013922,5,positive,0.966,positive,neutral,positive,positive,joy,0,0.093,0,0.684,0.674
R00013923,4,positive,0.463,neutral,positive,neutral,neutral,satisfaction,0,0.17,0,0.593,0.363
R00013924,5,positive,1.0,positive,positive,neutral,positive,satisfaction,0,0.434,0,0.501,0.723
R00013925,3,neutral,-0.039,neutral,neutral,neutral,neutral,neutral,0,0.124,0,0.685,0.026
R00013926,1,negative,-1.0,negative,negative,negative,neutral,anger,0,0.076,0,0.744,-0.85
R00013927,3,neutral,0.084,neutral,neutral,negative,neutral,mild_disappointment,0,0.365,0,0.752,0.02
R00013928,4,positive,0.681,neutral,neutral,neutral,neutral,neutral,0,0.043,0,0.765,0.485
R00013929,1,negative,-0.986,negative,negative,neutral,negative,disgust,0,0.49,0,0.514,-0.862
R00013930,4,positive,0.271,neutral,neutral,neutral,neutral,satisfaction,0,0.462,0,0.449,0.421
R00013931,2,negative,-0.548,neutral,neutral,neutral,neutral,disappointment,0,0.041,0,0.219,-0.386
