seller_id,n_products,avg_product_rating,total_reviews,avg_star,fake_rate,verified_rate,years_on_platform,ships_internationally,avg_shipping_days,return_rate_pct
S0376,18,3.1,358,3.26,0.0475,0.749,1,1,2.8,5.7
S0377,13,2.96,231,3.43,0.0909,0.766,2,1,4.6,10.0
S0378,12,3.11,239,3.38,0.0502,0.77,9,1,4.3,11.4
S0379,13,3.28,268,3.61,0.0448,0.761,5,0,3.0,4.7
S0380,9,3.22,184,3.55,0.0598,0.734,2,0,9.1,5.2
S0381,10,3.37,183,3.74,0.0164,0.749,2,0,2.8,6.2
S0382,15,3.03,288,3.38,0.0729,0.76,7,0,3.5,12.0
S0383,11,3.26,225,3.48,0.0133,0.684,7,1,4.1,7.6
S0384,13,3.38,275,3.57,0.0473,0.735,7,1,7.9,6.0
S0385,10,2.75,191,2.99,0.0628,0.77,3,0,5.6,2.1
S0386,8,2.95,184,3.15,0.0598,0.69,4,0,1.5,7.1
S0387,9,3.16,161,3.92,0.0435,0.807,2,0,4.6,5.7
S0388,7,2.93,138,3.39,0.0797,0.688,3,0,1.7,9.7
S0389,8,2.75,156,3.32,0.0385,0.756,7,0,4.5,3.4
S0390,17,3.14,359,3.48,0.078,0.766,8,0,2.9,7.0
S0391,5,3.7,125,3.9,0.064,0.704,5,1,5.1,13.1
S0392,11,2.96,234,3.37,0.0427,0.808,8,1,2.6,5.6
S0393,4,2.78,83,2.71,0.0482,0.747,4,1,4.7,3.6
S0394,8,3.36,190,3.79,0.1,0.768,9,0,9.5,6.5
S0395,9,3.51,179,4.13,0.0447,0.737,6,1,2.7,7.1
S0396,10,3.23,193,3.74,0.0622,0.756,2,0,7.2,7.9
S0397,8,3.42,212,3.26,0.0613,0.755,6,1,3.1,15.7
S0398,9,3.26,137,3.91,0.0438,0.774,2,0,6.7,4.3
S0399,12,3.38,230,3.63,0.0696,0.761,9,1,4.4,2.6
S0400,13,3.37,245,3.69,0.049,0.718,8,1,7.7,8.9
S0401,8,3.03,135,3.52,0.0296,0.778,1,1,6.4,9.9
S0402,10,3.41,222,4.15,0.0676,0.748,1,0,2.5,7.4
S0403,8,3.54,137,3.75,0.0365,0.774,9,1,6.3,5.0
S0404,10,2.66,165,2.95,0.097,0.776,6,0,5.0,2.8
S0405,12,3.5,195,3.84,0.0462,0.718,2,0,3.4,8.7
S0406,7,3.03,135,3.16,0.0222,0.763,9,1,5.5,6.9
S0407,4,2.82,91,3.33,0.0659,0.769,4,1,4.9,7.7
S0408,11,3.12,220,3.21,0.0636,0.768,8,1,8.3,3.3
S0409,15,3.35,323,3.8,0.0526,0.777,5,0,4.7,14.2
S0410,14,2.98,292,3.64,0.0822,0.719,7,0,6.6,12.2
S0411,8,3.82,178,4.03,0.0506,0.798,2,1,4.4,10.0
S0412,10,2.97,280,3.35,0.0536,0.764,4,0,1.2,3.9
S0413,10,3.29,181,3.68,0.0608,0.751,6,1,4.3,6.1
S0414,11,2.59,217,2.52,0.0691,0.724,3,0,3.4,11.5
S0415,19,3.08,393,3.33,0.0585,0.746,6,1,4.2,6.9
S0416,6,3.19,147,3.69,0.0816,0.748,9,0,2.9,12.1
S0417,12,3.14,229,3.35,0.0524,0.734,4,0,5.0,3.4
S0418,8,3.24,158,3.75,0.057,0.778,6,0,3.9,6.9
S0419,13,3.85,250,4.16,0.072,0.756,7,0,3.9,10.5
S0420,12,2.98,242,3.19,0.0413,0.798,2,1,8.8,3.8
S0421,8,3.81,133,4.5,0.0827,0.774,2,1,9.2,5.6
S0422,9,3.24,178,3.61,0.0843,0.775,6,0,7.8,7.6
S0423,10,3.36,155,3.66,0.071,0.716,1,1,4.4,3.0
S0424,9,3.13,176,3.57,0.0511,0.733,6,1,4.8,6.6
S0425,4,3.13,66,3.48,0.0455,0.803,2,0,2.8,2.2
S0426,10,3.08,195,3.48,0.0256,0.723,5,1,12.6,4.7
S0427,7,3.64,136,4.22,0.0588,0.772,1,0,5.1,7.1
S0428,10,2.9,193,3.19,0.057,0.751,2,0,2.9,8.3
S0429,11,3.1,181,3.5,0.0773,0.74,1,0,3.3,6.1
S0430,8,2.98,177,3.38,0.0565,0.768,3,0,6.1,4.3
S0431,8,3.48,140,3.76,0.0429,0.7,4,0,11.3,10.5
S0432,8,3.14,130,3.46,0.0538,0.754,8,0,3.5,8.6
S0433,12,2.66,234,3.12,0.0641,0.709,4,1,4.4,8.3
S0434,10,3.09,221,3.52,0.0498,0.756,2,0,4.0,12.3
S0435,10,3.04,221,3.48,0.0633,0.805,4,1,8.4,11.4
S0436,11,2.69,229,3.2,0.0699,0.721,8,0,4.4,5.1
S0437,9,3.11,193,3.19,0.0829,0.751,7,1,9.6,7.7
S0438,14,3.28,226,3.43,0.0708,0.788,2,0,9.1,8.6
S0439,9,2.97,175,3.73,0.0457,0.766,2,0,2.2,6.3
S0440,12,3.13,232,3.43,0.056,0.698,4,0,9.2,5.2
S0441,10,3.23,197,3.74,0.0355,0.716,4,0,6.1,24.0
S0442,7,3.46,167,3.99,0.0599,0.784,7,1,3.7,5.8
S0443,7,3.75,169,3.88,0.071,0.675,1,0,5.8,6.5
S0444,6,3.64,96,4.41,0.0833,0.729,7,1,1.9,7.6
S0445,13,3.09,286,3.23,0.0524,0.748,2,0,3.6,8.3
S0446,8,2.77,173,3.38,0.0462,0.734,4,0,5.3,2.2
S0447,13,3.08,272,3.43,0.0809,0.724,2,0,8.6,10.6
S0448,7,3.29,114,3.89,0.0526,0.746,6,0,6.5,6.1
S0449,8,3.45,183,3.87,0.0656,0.727,4,0,4.2,8.1
S0450,10,3.01,166,3.46,0.0542,0.699,8,1,3.1,2.5
S0451,8,3.43,134,3.73,0.0672,0.724,6,0,4.5,8.5
S0452,7,3.41,151,3.49,0.0331,0.735,1,0,1.9,3.8
S0453,6,3.17,120,3.5,0.0417,0.75,5,0,2.3,8.7
S0454,14,2.84,229,3.09,0.0568,0.707,5,1,3.1,7.6
S0455,8,3.36,168,3.75,0.0595,0.679,4,0,5.0,13.0
S0456,9,3.28,213,3.77,0.0657,0.779,3,0,2.5,4.5
S0457,8,3.42,179,3.99,0.067,0.687,4,1,1.9,6.3
S0458,9,3.59,175,4.13,0.1029,0.737,9,1,3.3,16.6
S0459,9,3.36,189,3.51,0.0582,0.735,2,0,7.6,4.4
S0460,14,3.58,251,3.88,0.0717,0.745,1,1,5.7,2.2
S0461,13,3.3,282,3.65,0.0674,0.745,8,1,2.8,9.8
S0462,8,2.88,177,3.21,0.0395,0.734,6,0,3.4,3.8
S0463,9,3.71,205,4.13,0.078,0.732,4,0,3.3,6.3
S0464,6,3.04,97,3.26,0.0412,0.722,9,1,2.4,4.2
S0465,12,2.89,252,3.18,0.0556,0.766,4,1,2.9,7.8
S0466,10,3.04,194,3.49,0.0773,0.753,5,1,2.3,2.0
S0467,9,3.23,181,3.27,0.0718,0.757,4,0,7.1,4.4
S0468,12,3.38,230,3.7,0.0435,0.674,1,0,3.1,8.3
S0469,11,3.27,242,3.28,0.0455,0.756,2,1,2.6,7.2
S0470,9,2.81,178,3.13,0.0674,0.753,7,1,4.1,5.1
S0471,9,2.9,174,3.34,0.0862,0.741,7,0,1.9,5.3
S0472,9,3.22,181,3.44,0.0497,0.746,2,0,7.5,7.8
S0473,14,3.25,246,3.4,0.0447,0.691,7,0,5.6,9.5
S0474,7,3.62,138,3.81,0.029,0.703,4,0,3.3,6.7
S0475,13,3.12,255,3.55,0.0588,0.761,1,1,5.6,13.3
S0476,12,3.27,241,3.37,0.0705,0.701,6,0,9.9,6.1
S0477,9,3.41,204,3.58,0.0392,0.794,6,0,9.0,17.0
S0478,9,3.08,185,3.49,0.0486,0.757,4,1,5.1,2.8
S0479,9,3.12,167,3.38,0.0419,0.719,7,0,7.0,4.2
S0480,12,3.19,237,3.8,0.0928,0.722,1,0,4.5,13.4
S0481,15,3.49,300,3.77,0.0567,0.717,5,1,13.0,4.7
S0482,9,3.11,181,3.49,0.0663,0.74,9,0,5.5,5.6
S0483,12,3.15,243,3.43,0.0535,0.741,9,1,10.2,8.3
S0484,11,3.15,179,3.39,0.0615,0.743,8,1,13.7,4.7
S0485,10,3.37,199,3.64,0.0653,0.719,2,1,7.1,4.9
S0486,8,3.45,179,3.36,0.0559,0.771,1,1,3.2,4.4
S0487,8,3.4,177,3.66,0.0508,0.757,1,1,11.4,8.3
S0488,8,3.13,177,3.58,0.0508,0.757,8,1,4.4,3.6
S0489,6,3.09,123,3.61,0.0407,0.724,4,0,4.9,4.0
S0490,9,3.32,186,3.79,0.0699,0.737,7,1,7.2,7.3
S0491,8,3.38,192,3.86,0.0573,0.708,4,0,7.6,4.0
S0492,11,3.37,219,3.79,0.0411,0.795,3,0,5.7,6.2
S0493,18,3.15,365,3.47,0.0575,0.759,3,1,1.3,8.4
S0494,9,2.83,224,3.2,0.0446,0.75,3,0,2.1,3.5
S0495,13,3.26,216,3.4,0.0694,0.764,8,0,3.1,15.4
S0496,5,3.79,105,3.84,0.0667,0.771,7,1,2.2,10.3
S0497,9,3.44,177,3.77,0.0565,0.706,4,0,2.4,5.1
S0498,9,3.43,175,3.94,0.0571,0.726,5,1,4.0,3.8
S0499,9,3.49,190,4.03,0.0789,0.747,7,0,10.3,3.7
S0500,7,3.26,117,3.89,0.0684,0.65,3,1,6.4,3.4
